County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Autauga County,Alabama,54571,5119,2307,707,222
Baldwin County,Alabama,182265,2308,846,390,32
Barbour County,Alabama,27457,4643,2440,629,201
Bibb County,Alabama,22915,365,102,72,0
Blount County,Alabama,57322,0,0,0,0
Bullock County,Alabama,10914,2586,1267,488,80
Butler County,Alabama,20947,1334,556,259,23
Calhoun County,Alabama,118572,0,0,0,0
Chambers County,Alabama,34215,680,292,144,12
Cherokee County,Alabama,25989,91,34,12,1
Chilton County,Alabama,43643,473,196,81,11
Choctaw County,Alabama,13859,3373,1808,541,213
Clarke County,Alabama,25833,3717,1901,629,167
Clay County,Alabama,13932,978,414,173,5
Cleburne County,Alabama,14972,891,303,128,11
Coffee County,Alabama,49948,2437,814,408,31
Colbert County,Alabama,54428,1013,308,177,12
Conecuh County,Alabama,13228,3487,1759,742,96
Coosa County,Alabama,11539,2607,890,524,27
Covington County,Alabama,37765,2939,1012,577,36
Crenshaw County,Alabama,13906,4101,1878,578,89
Cullman County,Alabama,80406,1075,459,154,14
Dale County,Alabama,50251,676,278,106,5
Dallas County,Alabama,43820,4232,2665,781,230
DeKalb County,Alabama,71109,0,0,0,0
Elmore County,Alabama,79303,23,5,3,0
Escambia County,Alabama,38319,2126,1048,319,32
Etowah County,Alabama,104430,0,0,0,0
Fayette County,Alabama,17241,163,74,23,3
Franklin County,Alabama,31704,893,354,139,11
Geneva County,Alabama,26790,8,4,0,0
Greene County,Alabama,9045,2971,2058,464,147
Hale County,Alabama,15760,2389,1099,380,93
Henry County,Alabama,17302,240,114,34,3
Houston County,Alabama,101547,707,324,97,18
Jackson County,Alabama,53227,3045,1403,492,31
Jefferson County,Alabama,658466,4441,1190,450,49
Lamar County,Alabama,14564,89,60,12,1
Lauderdale County,Alabama,92709,828,401,135,20
Lawrence County,Alabama,34339,2214,981,329,56
Lee County,Alabama,140247,797,316,87,13
Limestone County,Alabama,82782,309,57,40,3
Lowndes County,Alabama,11299,4411,2284,581,232
Macon County,Alabama,21452,2201,1138,313,116
Madison County,Alabama,334811,346,100,51,3
Marengo County,Alabama,21027,3950,2065,643,93
Marion County,Alabama,30776,932,316,187,7
Marshall County,Alabama,93019,0,0,0,0
Mobile County,Alabama,412992,847,127,179,2
Monroe County,Alabama,23068,4295,2613,739,272
Montgomery County,Alabama,229363,5160,2043,916,86
Morgan County,Alabama,119490,336,69,44,6
Perry County,Alabama,10591,4187,2950,619,279
Pickens County,Alabama,19746,820,295,136,26
Pike County,Alabama,32899,1382,547,229,23
Randolph County,Alabama,22913,2939,1490,453,75
Russell County,Alabama,52947,3927,1739,754,220
Shelby County,Alabama,195085,353,98,60,4
St. Clair County,Alabama,83593,0,0,0,0
Sumter County,Alabama,13763,2483,1480,447,139
Talladega County,Alabama,82291,37,13,5,0
Tallapoosa County,Alabama,41616,2227,815,398,28
Tuscaloosa County,Alabama,194656,3266,817,453,23
Walker County,Alabama,67023,167,49,36,0
Washington County,Alabama,17581,1966,788,315,49
Wilcox County,Alabama,11670,4897,2763,738,220
Winston County,Alabama,24484,1033,415,204,19
Aleutians East Borough,Alaska,3141,1226,458,44,56
Aleutians West Census Area,Alaska,5561,1190,434,75,103
Anchorage Municipality,Alaska,291826,631,62,41,3
Bethel Census Area,Alaska,17013,8747,6009,626,1826
Bristol Bay Borough,Alaska,997,561,116,51,24
Denali Borough,Alaska,1826,1826,604,137,25
Dillingham Census Area,Alaska,4847,2462,1525,187,467
Fairbanks North Star Borough,Alaska,97581,5178,825,392,8
Haines Borough,Alaska,2508,519,253,58,0
Hoonah-Angoon Census Area,Alaska,2150,2137,669,287,279
Juneau City and Borough,Alaska,31275,157,21,13,13
Kenai Peninsula Borough,Alaska,55400,8785,2949,1133,240
Ketchikan Gateway Borough,Alaska,13477,39,1,12,4
Kodiak Island Borough,Alaska,13592,1633,532,116,110
Kusilvak Census Area,Alaska,7459,1562,1193,70,327
Lake and Peninsula Borough,Alaska,1631,1631,679,127,259
Matanuska-Susitna Borough,Alaska,88995,5525,2007,665,91
Nome Census Area,Alaska,9492,2196,1442,133,520
North Slope Borough,Alaska,9430,3575,670,109,201
Northwest Arctic Borough,Alaska,7523,3434,2179,177,653
Petersburg Borough,Alaska,3815,168,25,14,16
Prince of Wales-Hyder Census Area,Alaska,5559,1262,491,151,76
Sitka City and Borough,Alaska,8881,60,0,3,10
Skagway Municipality,Alaska,968,3,1,1,0
Southeast Fairbanks Census Area,Alaska,7029,2090,695,215,77
Valdez-Cordova Census Area,Alaska,9636,2724,996,280,182
Wrangell City and Borough,Alaska,2369,506,119,70,9
Yakutat City and Borough,Alaska,662,2,1,0,0
Yukon-Koyukuk Census Area,Alaska,5588,5005,2418,522,1013
Apache County,Arizona,71518,37500,24663,4687,1657
Cochise County,Arizona,131346,17460,6637,4056,307
Coconino County,Arizona,134421,21007,10623,2530,731
Gila County,Arizona,53597,6427,2408,1976,121
Graham County,Arizona,37220,4374,2282,373,185
Greenlee County,Arizona,8437,2678,1167,518,33
La Paz County,Arizona,20489,10891,5409,5147,397
Maricopa County,Arizona,3817117,25946,9410,2822,239
Mohave County,Arizona,200186,20584,9375,5801,434
Navajo County,Arizona,107449,32705,20933,4321,1498
Pima County,Arizona,980263,24470,12857,3064,696
Pinal County,Arizona,375770,20273,8401,3281,354
Santa Cruz County,Arizona,47420,3356,1160,903,24
Yavapai County,Arizona,211033,16796,7271,4200,192
Yuma County,Arizona,195751,3059,1168,360,30
Arkansas County,Arkansas,19019,1850,726,363,19
Ashley County,Arkansas,21853,2213,1095,377,123
Baxter County,Arkansas,41513,752,301,175,19
Benton County,Arkansas,221339,729,178,166,3
Boone County,Arkansas,36903,4746,2310,985,43
Bradley County,Arkansas,11508,2735,1175,439,83
Calhoun County,Arkansas,5368,3516,1326,657,96
Carroll County,Arkansas,27446,1387,439,224,19
Chicot County,Arkansas,11800,706,282,172,31
Clark County,Arkansas,22995,5220,2117,925,113
Clay County,Arkansas,16083,429,201,87,7
Cleburne County,Arkansas,25970,3314,1232,580,54
Cleveland County,Arkansas,8689,1920,662,334,15
Columbia County,Arkansas,24552,1486,681,290,7
Conway County,Arkansas,21273,2794,1253,488,70
Craighead County,Arkansas,96443,742,421,148,11
Crawford County,Arkansas,61948,3430,1529,573,36
Crittenden County,Arkansas,50902,4731,2583,663,268
Cross County,Arkansas,17870,3370,1763,612,164
